Date Time,ID,Location,Floor,Total num students,Num talking,Num studying,Num eating,Num on phone,Decibel level (dBA)
4/7/2026 12:00,1,Tech Rec,1,35,20,5,5,5,65
4/7/2026 12:00,2,Marrakech Express dining area,1,40,25,2,35,5,75
4/7/2026 12:00,3,Piedmont room sitting area,1,15,8,5,10,3,55
4/7/2026 12:00,4,Post Office,1,10,3,0,0,2,50
4/7/2026 12:00,5,Chick-Fil-A/Panda dining area,1,60,40,5,55,10,80
4/7/2026 12:00,6,Cypress Theater dining area,1,45,30,5,40,8,78
4/7/2026 12:00,7,Southern Company BSO Space,2,12,5,8,3,2,50
4/7/2026 12:00,8,Student Organizations Hub,2,25,15,10,5,5,58
4/7/2026 12:00,9,Music Practice Rooms,2,8,2,6,0,0,60
4/7/2026 12:00,10,Student Media sitting area,2,15,10,5,5,2,55
4/7/2026 12:00,11,Dancing Goats Coffee sitting area,2,30,15,15,10,5,65
4/7/2026 12:00,12,Infodesk sitting area,2,18,8,8,2,4,55
4/7/2026 12:00,13,DePoe Eye Center sitting area,2,5,2,0,0,3,45
4/7/2026 12:00,14,Noodle Theory/Pop up sitting area,2,35,20,5,30,5,72
4/7/2026 12:00,15,Twisted Taco sitting area,2,40,25,3,35,8,75
4/7/2026 12:00,16,Twisted Taco corner sitting area,2,20,12,4,15,4,68
4/7/2026 12:00,17,Campus crust sitting area,2,30,18,5,25,6,70
4/7/2026 12:00,18,Tech Eatery sitting area,2,35,20,5,30,5,72
4/7/2026 12:00,19,Reflection space seating area,3,6,0,6,0,0,35
4/7/2026 12:00,20,Graduate student lounge sitting area,3,12,4,10,2,2,45
4/7/2026 12:00,21,Krog boardroom sitting area,3,10,8,2,2,1,55
4/7/2026 12:00,22,Multicultural center sitting area,3,15,10,5,3,4,58
4/7/2026 12:00,23,Event Services sitting area,3,5,3,2,0,1,48
4/7/2026 12:00,24,Denning Boardroom Huddle Space,3,6,5,1,0,0,52
4/7/2026 12:00,25,3rd floor long tables sitting area,3,20,8,15,2,3,50
4/7/2026 12:00,26,CSE desk sitting area,3,15,5,12,2,2,48
4/7/2026 20:00,1,Tech Rec,1,25,15,2,2,5,60
4/7/2026 20:00,2,Marrakech Express dining area,1,15,5,12,5,3,50
4/7/2026 20:00,3,Piedmont room sitting area,1,20,5,18,2,4,45
4/7/2026 20:00,4,Post Office,1,2,0,0,0,1,40
4/7/2026 20:00,5,Chick-Fil-A/Panda dining area,1,25,10,18,5,5,55
4/7/2026 20:00,6,Cypress Theater dining area,1,20,8,15,4,3,52
4/7/2026 20:00,7,Southern Company BSO Space,2,15,3,12,2,1,42
4/7/2026 20:00,8,Student Organizations Hub,2,20,5,15,3,2,45
4/7/2026 20:00,9,Music Practice Rooms,2,12,2,10,0,0,60
4/7/2026 20:00,10,Student Media sitting area,2,10,5,5,2,1,50
4/7/2026 20:00,11,Dancing Goats Coffee sitting area,2,25,8,20,2,3,48
4/7/2026 20:00,12,Infodesk sitting area,2,10,3,7,1,2,45
4/7/2026 20:00,13,DePoe Eye Center sitting area,2,0,0,0,0,0,30
4/7/2026 20:00,14,Noodle Theory/Pop up sitting area,2,15,5,10,2,3,48
4/7/2026 20:00,15,Twisted Taco sitting area,2,20,8,15,3,4,50
4/7/2026 20:00,16,Twisted Taco corner sitting area,2,15,5,12,2,2,45
4/7/2026 20:00,17,Campus crust sitting area,2,10,4,8,1,2,42
4/7/2026 20:00,18,Tech Eatery sitting area,2,15,5,10,2,3,45
4/7/2026 20:00,19,Reflection space seating area,3,12,0,12,0,0,32
4/7/2026 20:00,20,Graduate student lounge sitting area,3,25,3,24,0,2,38
4/7/2026 20:00,21,Krog boardroom sitting area,3,8,5,3,0,1,48
4/7/2026 20:00,22,Multicultural center sitting area,3,10,4,8,1,2,45
4/7/2026 20:00,23,Event Services sitting area,3,2,0,2,0,0,35
4/7/2026 20:00,24,Denning Boardroom Huddle Space,3,8,5,3,0,1,48
4/7/2026 20:00,25,3rd floor long tables sitting area,3,35,5,32,1,3,40
4/7/2026 20:00,26,CSE desk sitting area,3,22,3,20,2,2,38
4/7/2026 13:00,1,Tech Rec,1,30,15,0,2,4,63
4/7/2026 14:00,1,Tech Rec,1,26,11,0,1,0,57
4/7/2026 15:00,1,Tech Rec,1,25,13,0,0,0,56
4/7/2026 16:00,1,Tech Rec,1,21,9,0,0,0,52
4/7/2026 17:00,1,Tech Rec,1,23,10,0,0,0,55
4/7/2026 18:00,1,Tech Rec,1,21,9,0,0,0,54
4/7/2026 19:00,1,Tech Rec,1,22,14,0,0,1,58
4/7/2026 13:00,2,Marrakech Express dining area,1,34,17,0,28,0,68
4/7/2026 14:00,2,Marrakech Express dining area,1,30,14,1,23,0,62
4/7/2026 15:00,2,Marrakech Express dining area,1,23,9,1,16,0,58
4/7/2026 16:00,2,Marrakech Express dining area,1,18,5,0,12,0,56
4/7/2026 17:00,2,Marrakech Express dining area,1,15,7,1,10,0,50
4/7/2026 18:00,2,Marrakech Express dining area,1,18,7,2,5,0,52
4/7/2026 19:00,2,Marrakech Express dining area,1,13,4,10,8,0,48
4/7/2026 13:00,3,Piedmont room sitting area,1,14,6,1,7,2,49
4/7/2026 14:00,3,Piedmont room sitting area,1,12,3,0,0,0,47
4/7/2026 15:00,3,Piedmont room sitting area,1,7,0,3,0,0,45
4/7/2026 16:00,3,Piedmont room sitting area,1,11,0,4,0,0,43
4/7/2026 17:00,3,Piedmont room sitting area,1,12,0,3,0,0,43
4/7/2026 18:00,3,Piedmont room sitting area,1,12,1,9,0,0,43
4/7/2026 19:00,3,Piedmont room sitting area,1,14,2,13,0,0,44
4/7/2026 13:00,4,Post Office,1,6,0,0,0,0,44
4/7/2026 14:00,4,Post Office,1,4,0,0,0,0,41
4/7/2026 15:00,4,Post Office,1,1,0,0,0,0,39
